date,open,high,close
2015-10-12,107.2162,107.2352,106.1415
2015-10-13,105.3996,106.9499,106.3222
2015-10-14,105.8466,106.0654,104.8194
2015-10-15,105.5042,106.617,106.3887
2015-10-16,106.3127,106.5219,105.6088
2015-10-19,105.3806,106.2841,106.2651
2015-10-20,105.8942,108.5858,108.2053
2015-10-21,108.4241,109.9268,108.1958
2015-10-22,108.7379,109.8507,109.8507
2015-10-23,110.992,113.3964,113.2556
2015-10-26,112.3045,112.3521,109.6415
2015-10-27,109.7556,110.8398,108.9472
2015-10-28,111.2108,113.4648,113.4363
2015-10-29,112.8942,114.7868,114.6347
2015-10-30,115.0722,115.2909,113.6551
2015-11-02,114.007,115.4241,115.2529
2015-11-03,114.882,117.4499,116.5749
2015-11-04,117.1075,117.7638,116.0328
2015-11-05,116.3862,117.1885,115.4979
2015-11-06,115.6793,116.3479,115.6316
2015-11-09,115.5361,116.3479,115.1635
2015-11-10,111.6581,112.7756,111.5339
2015-11-11,111.1519,112.1548,110.9035
2015-11-12,111.0468,111.5817,110.531
2015-11-13,110.0343,110.3877,107.3026
2015-11-16,106.3856,109.1174,109.0553
2015-11-17,109.7669,109.8911,108.5921
2015-11-18,110.5692,112.2217,112.0306
2015-11-19,112.3649,114.3803,113.4538
2015-11-20,113.855,114.5427,113.9505
2015-11-23,113.9218,114.3612,112.47
2015-11-24,112.0688,113.9982,113.5493
2015-11-25,113.8645,113.8836,112.7374
2015-11-27,112.9858,113.1004,112.5273
2015-11-30,112.6992,114.0556,112.9953
2015-12-01,113.4252,113.4825,112.0784
2015-12-02,111.8014,112.8139,111.0659
2015-12-03,111.3238,111.553,110.0343
2015-12-04,110.1203,113.9027,113.6926
2015-12-07,113.6448,114.4854,112.9762
2015-12-08,112.2503,113.2819,112.9285
2015-12-09,112.3649,112.4127,110.4355
2015-12-10,110.8367,111.6963,110.9608
2015-12-11,110.0248,110.2158,108.1049
2015-12-14,107.1498,107.6273,107.4363
2015-12-15,106.9205,107.742,105.5355
2015-12-16,106.0895,106.9683,106.3474
2015-12-17,106.9969,107.2166,104.0932
